"51.867899,-8.474804"
"51.9021,-8.45634"
"51.87859,-8.466504"
"52.139237,-8.654588"
"51.917189,-8.174142"
"55.137602,-7.456888"
"54.65153,-8.112858"
"54.961006,-7.731468"
"53.610233,-6.182937"
"53.353856,-6.212747"
"53.352022,-6.258432"
"53.329905,-6.299208"
"53.335203,-6.246205"
"53.3453,-6.2513"
"53.340947,-6.250199"
"53.333894,-6.267083"
"53.338798,-6.232894"
"53.346,-6.2927"
"53.366828,-6.256153"
"53.451232,-6.15157"
"53.451478,-6.156156"
"53.276523,-9.052773"
"51.884003,-9.589492"
"52.059533,-9.507251"
"52.449026,-9.48427"
"52.271,-9.71"
"53.133579,-6.614196"
"53.369508,-6.507169"
"53.381508,-6.580913"
"53.214347,-6.665187"
"53.218385,-6.658147"
"53.246846,-6.66414"
"52.650076,-7.257542"
"52.652859,-7.248367"
"52.655331,-7.260136"
"53.160461,-7.187451"
"53.146359,-7.181829"
"53.030737,-7.301713"
"53.036593,-7.301432"
"53.922426,-7.866286"
"52.675091,-8.5739"
"52.661893,-8.632049"
"52.667322,-8.623874"
"52.6638,-8.6216"
"52.6582,-8.6294"
"53.723916,-7.795273"
"54.003855,-6.387454"
"53.8569,-9.3007"
"53.8534,-9.2985"
"53.41658,-6.46339"
"54.180374,-7.232457"
"53.971854,-8.30158"
"53.766167,-8.483368"
"53.768179,-8.49094"
"54.271302,-8.465001"
"52.246699,-7.136054"
"53.422802,-7.942743"
"53.6256,-7.4661"
"52.342373,-6.464083"
"52.340105,-6.463952"
"53.011805,-6.108066"
"53.204956,-6.103734"
"52.981676,-6.042404"
"54.7176,-6.2192"
"54.717252,-6.210415"
"54.34658,-6.653094"
"54.857101,-6.308798"
"54.594342,-5.928256"
"54.5774,-5.88767"
"54.582112,-5.979061"
"54.604646,-5.931866"
"55.204278,-6.522941"
"54.5137,-6.0538"
"55.202916,-6.651237"
"54.710224,-6.093044"
"54.451549,-6.393503"
"54.352986,-6.412773"
"54.756443,-6.610751"
"54.95111,-6.555297"
"54.994629,-7.323503"
"55.01272,-7.322001"
"54.70753,-7.59209"
"54.829324,-7.464149"
"54.332131,-6.276053"
"54.647352,-5.658459"
"54.466053,-6.084082"
"54.173287,-6.335203"
"54.189322,-6.361695"
"54.647547,-6.742967"
"54.502841,-6.769526"
"54.95129,-7.72263"
"53.412778,-6.216111"
"54.852528,-6.723321"
"51.90491,-8.954018"
"53.304365,-8.942545"
"53.724529,-7.78376"
"53.932398,-6.417955"
"53.043868,-6.089511"
"52.846593,-6.902268"
"52.25783,-6.456163"
"54.572268,-5.97053"
"55.200943,-6.642507"
"53.273339,-7.490183"
"52.259815,-7.117449"
"53.523766,-7.342081"
